date,smp,load,pv
2018-04-17 17:00,94.83,11.436,41.606
2018-04-17 18:00,93.34,14.974,9.522
2018-04-17 19:00,93.38,16.637,0
2018-04-17 20:00,93.09,17.9,0
2018-04-17 21:00,92.98,18.456,0
2018-04-17 22:00,92.62,18.2,0
2018-04-17 23:00,91.95,17.088,0
2018-04-18 0:00,88.33,15.75,0
2018-04-18 1:00,87.75,14.603,0
2018-04-18 2:00,87.7,13.448,0
2018-04-18 3:00,87.71,12.71,0
2018-04-18 4:00,89.58,12.873,0
2018-04-18 5:00,89.58,13.298,0
2018-04-18 6:00,90.4,14.212,4.845
2018-04-18 7:00,91.94,16.127,34.254
2018-04-18 8:00,93.46,14.381,72.412
2018-04-18 9:00,93.43,11.999,108.209
2018-04-18 10:00,93.41,10.636,134.941
2018-04-18 11:00,93.37,10.43,150.296
2018-04-18 12:00,90.66,10.516,156.708
2018-04-18 13:00,92.99,11.027,153.02
2018-04-18 14:00,93.28,10.843,132.724
2018-04-18 15:00,93.49,10.105,110.065
2018-04-18 16:00,93.59,10.627,77.33
2018-04-18 17:00,93.6,12.111,38.544
2018-04-18 18:00,93.39,15.612,8.34
2018-04-18 19:00,93.61,18.117,0
2018-04-18 20:00,93.07,18.422,0
2018-04-18 21:00,92.64,20.397,0
2018-04-18 22:00,91.89,17.892,0
2018-04-18 23:00,91.91,17.385,0
2018-04-19 0:00,88.19,15.681,0
2018-04-19 1:00,88.45,14.05,0
2018-04-19 2:00,87.77,13.801,0
2018-04-19 3:00,87.63,13.33,0
2018-04-19 4:00,87.77,13.087,0
2018-04-19 5:00,88.03,13.569,0
2018-04-19 6:00,89.17,15.262,4.917
2018-04-19 7:00,92.37,16.187,30.614
2018-04-19 8:00,94.12,13.768,66.916
2018-04-19 9:00,94.1,12.547,99.989
2018-04-19 10:00,94.07,11.754,122.407
2018-04-19 11:00,92.69,10.888,136.484
2018-04-19 12:00,88.61,11.141,140.341
2018-04-19 13:00,92.69,9.899,134.556
2018-04-19 14:00,92.85,9.826,121.081
2018-04-19 15:00,93.18,9.732,95.698
2018-04-19 16:00,93.69,9.768,66.892
2018-04-19 17:00,93.7,10.681,34.471
2018-04-19 18:00,93.71,13.728,7.111
2018-04-19 19:00,93.72,17.22,0
2018-04-19 20:00,93.33,18.216,0
2018-04-19 21:00,92.33,18.867,0
2018-04-19 22:00,92.01,18.505,0
2018-04-19 23:00,92.02,17.368,0
2018-04-20 0:00,88.36,15.057,0
2018-04-20 1:00,87.96,14.544,0
2018-04-20 2:00,88.02,13.401,0
2018-04-20 3:00,88.02,12.735,0
2018-04-20 4:00,89.07,12.666,0
2018-04-20 5:00,89.36,12.715,0
2018-04-20 6:00,89.11,14.456,4.098
2018-04-20 7:00,92.36,16.056,26.612
2018-04-20 8:00,92.6,13.9,59.805
2018-04-20 9:00,92.52,11.937,93.625
2018-04-20 10:00,92.38,10.749,121.201
2018-04-20 11:00,92.3,10.808,139.087
2018-04-20 12:00,88.69,11.847,139.136
2018-04-20 13:00,92.16,11.84,134.194
2018-04-20 14:00,92.69,10.745,122.961
2018-04-20 15:00,92.69,10.769,101.555
2018-04-20 16:00,93.58,11.084,70.677
2018-04-20 17:00,93.6,12.855,36.664
2018-04-20 18:00,93.63,15.099,8.413
2018-04-20 19:00,93.7,17.702,0
2018-04-20 20:00,93.39,18.41,0
2018-04-20 21:00,92.55,17.681,0
2018-04-20 22:00,92.6,16.521,0
2018-04-20 23:00,92.12,16.491,0
2018-04-21 0:00,88.34,16.205,0
2018-04-21 1:00,88.35,14.537,0
2018-04-21 2:00,88.31,13.133,0
2018-04-21 3:00,88.53,12.659,0
2018-04-21 4:00,88.53,12.262,0
2018-04-21 5:00,88.82,12.112,0
2018-04-21 6:00,88.94,13.105,5.52
2018-04-21 7:00,88.43,14.018,34.157
2018-04-21 8:00,88.93,14.296,70.46
2018-04-21 9:00,88.92,13.684,98.904
2018-04-21 10:00,88.92,14.019,132.025
2018-04-21 11:00,88.92,13.84,145.114
2018-04-21 12:00,88.68,13.772,148.44
2018-04-21 13:00,88.92,13.498,148.392
2018-04-21 14:00,88.92,13.593,138.75
2018-04-21 15:00,88.92,14.017,116.019
2018-04-21 16:00,88.92,12.158,80.536
2018-04-21 17:00,88.7,12.516,46.33
2018-04-21 18:00,88.93,15.163,10.269
2018-04-21 19:00,88.93,16.996,0
2018-04-21 20:00,88.94,17.358,0
2018-04-21 21:00,88.94,18.322,0
2018-04-21 22:00,88.94,17.93,0
2018-04-21 23:00,88.94,16.684,0
2018-04-22 0:00,87.47,15.135,0
2018-04-22 1:00,86.47,14.462,0
2018-04-22 2:00,86.49,13.507,0
2018-04-22 3:00,86.49,13.132,0
2018-04-22 4:00,86.62,12.818,0
2018-04-22 5:00,86.62,12.895,0
2018-04-22 6:00,86.62,12.652,1.639
2018-04-22 7:00,86.49,13.992,8.871
2018-04-22 8:00,86.21,15.03,12.053
2018-04-22 9:00,85.7,14.542,22.321
2018-04-22 10:00,85.61,14.715,21.695
2018-04-22 11:00,85.56,14.127,37.893
2018-04-22 12:00,85.51,14.084,36.086
2018-04-22 13:00,85.51,13.236,34.302
2018-04-22 14:00,85.51,12.402,18.103
2018-04-22 15:00,86.45,13.767,10.944
2018-04-22 16:00,86.58,15.488,4.652
2018-04-22 17:00,87.52,16.943,2.097
2018-04-22 18:00,88.06,18.109,0.048
2018-04-22 19:00,88.76,18.343,0
2018-04-22 20:00,88.76,18.67,0
2018-04-22 21:00,88.76,19.005,0
2018-04-22 22:00,88.68,18.251,0
2018-04-22 23:00,88.38,18.307,0
2018-04-23 0:00,87.52,15.384,0
2018-04-23 1:00,87.52,14.184,0
2018-04-23 2:00,86.04,13.748,0
2018-04-23 3:00,86.04,13.315,0
2018-04-23 4:00,86.51,13.837,0
2018-04-23 5:00,88.25,14.08,0
2018-04-23 6:00,88.25,15.606,0
2018-04-23 7:00,90.14,17.817,0
2018-04-23 8:00,93.78,15.152,1.856
2018-04-23 9:00,93.78,12.962,8.172
2018-04-23 10:00,93.78,11.209,10.076
2018-04-23 11:00,93.59,11.415,14.27
2018-04-23 12:00,88.78,12.221,17.549
2018-04-23 13:00,93.19,12.864,17.766
2018-04-23 14:00,93.33,12.753,11.691
2018-04-23 15:00,92.92,13.334,8.148
2018-04-23 16:00,95.76,13.782,2.724
2018-04-23 17:00,95.76,14.627,1.88
2018-04-23 18:00,95.94,16.501,0.072
2018-04-23 19:00,95.94,19.056,0
2018-04-23 20:00,95.06,19.798,0
2018-04-23 21:00,92.89,19.082,0
2018-04-23 22:00,92.82,19.232,0
2018-04-23 23:00,92.79,17.556,0
2018-04-24 0:00,89.59,16.445,0
2018-04-24 1:00,87.74,14.215,0
2018-04-24 2:00,87.72,12.902,0
2018-04-24 3:00,87.72,12.709,0
2018-04-24 4:00,87.74,12.404,0
2018-04-24 5:00,87.99,12.749,0
2018-04-24 6:00,91.7,13.015,0.579
2018-04-24 7:00,92.29,15.005,14.343
2018-04-24 8:00,93.47,13.238,45.149
2018-04-24 9:00,93.47,14.715,41.485
2018-04-24 10:00,93.45,12.036,49.705
2018-04-24 11:00,93.44,11.513,71.593
2018-04-24 12:00,88.56,10.84,81.789
2018-04-24 13:00,92.89,10.871,72.991
2018-04-24 14:00,94.3,10.085,37.58
2018-04-24 15:00,94.3,9.869,24.419
2018-04-24 16:00,95.74,11.567,37.146
2018-04-24 17:00,95.92,12.361,32.397
2018-04-24 18:00,95.92,16.195,4.917
2018-04-24 19:00,96.01,18.239,0
2018-04-24 20:00,95.83,19.824,0
2018-04-24 21:00,93.24,19.898,0
2018-04-24 22:00,92.96,18.931,0
2018-04-24 23:00,92.78,16.776,0
2018-04-25 0:00,88.5,15.54,0
2018-04-25 1:00,88.5,14.263,0
2018-04-25 2:00,88.5,13.258,0
2018-04-25 3:00,88.75,12.578,0
2018-04-25 4:00,89.01,12.975,0
2018-04-25 5:00,89.01,12.951,0
2018-04-25 6:00,90.45,13.348,6.605
2018-04-25 7:00,92.44,15.066,34.422
2018-04-25 8:00,93.2,14.399,70.46
2018-04-25 9:00,93.2,12.166,102.447
2018-04-25 10:00,93.19,10.884,126.143
2018-04-25 11:00,93.17,10.866,142.317
2018-04-25 12:00,88.81,11.111,148.802
2018-04-25 13:00,93.01,10.082,147.114
2018-04-25 14:00,93.54,9.631,135.327
2018-04-25 15:00,94.6,10.121,111.222
2018-04-25 16:00,96.06,10.769,79.74
2018-04-25 17:00,96.28,10.708,43.124
2018-04-25 18:00,96.35,13.07,10.365
2018-04-25 19:00,96.57,17.175,0.024
2018-04-25 20:00,96.35,17.124,0
2018-04-25 21:00,93.28,16.877,0
2018-04-25 22:00,92.86,17.434,0
2018-04-25 23:00,92.56,16.993,0
2018-04-26 0:00,88.54,16.015,0
2018-04-26 1:00,88.35,13.93,0
2018-04-26 2:00,88.61,12.629,0
2018-04-26 3:00,87.8,13.073,0
2018-04-26 4:00,89.12,12.645,0
2018-04-26 5:00,89.12,12.681,0
2018-04-26 6:00,90.4,14.392,6.605
2018-04-26 7:00,92.03,14.949,24.78
2018-04-26 8:00,96.19,13.211,67.157
2018-04-26 9:00,96.01,12.381,103.773
2018-04-26 10:00,95.74,10.662,88.563
2018-04-26 11:00,95.65,11.264,117.778
2018-04-26 12:00,93.76,10.553,126.577
2018-04-26 13:00,93.91,10.024,138.244
2018-04-26 14:00,95.34,9.945,122.527
2018-04-26 15:00,95.75,9.457,95.65
2018-04-26 16:00,95.88,9.61,71.761
2018-04-26 17:00,96.13,10.611,36.664
2018-04-26 18:00,96.25,13.206,11.884
2018-04-26 19:00,96.5,17.803,0.024
2018-04-26 20:00,93.35,18.028,0
2018-04-26 21:00,92.98,17.802,0
2018-04-26 22:00,92.98,17.799,0
2018-04-26 23:00,92.53,16.669,0
2018-04-27 0:00,88.33,15.372,0
2018-04-27 1:00,87.91,13.25,0
2018-04-27 2:00,87.8,12.6,0
2018-04-27 3:00,87.8,12.848,0
2018-04-27 4:00,87.81,12.514,0
2018-04-27 5:00,89.28,12.744,0
2018-04-27 6:00,89.21,12.698,4.267
2018-04-27 7:00,92.42,14.91,23.864
2018-04-27 8:00,93.23,12.905,59.323
